gene	p	score
OR56A3	0.276161636948948	0.594282361575147
OR9K2	0.277080362786459	0.591536919444409
OR5B17	0.28680415705067	0.562745327308019
OR4F15	0.287436240426877	0.560890068463733
GNGT1	0.292654603183936	0.545646132960972
OR13C9	0.293926119743051	0.541951032611233
OR5K2	0.296391979890929	0.534806077926356
OR52E2	0.297571623866292	0.531397652761036
OR52W1	0.299754516456217	0.525106679620991
OR56A1	0.302121154213644	0.518309553498106
OR51E2	0.305108850637228	0.509762727266752
OR5W2	0.308919725411222	0.498914738125514
OR51T1	0.311900072028106	0.490471709572531
OR10H3	0.313741198606477	0.485273434418061
OR14K1	0.3181	0.473018472782338
OR4B1	0.320631642387805	0.465933243658851
OR10A6	0.324865131047054	0.454136946950792
OR7E24	0.337201781593144	0.420112100748767
OR10R2	0.339855061811874	0.412858724228175
OR10J1	0.340483470284731	0.411144010218086
OR5R1	0.345940701759544	0.396303150264813
OR1G1	0.346072998280145	0.395944466420148
OR8B3	0.3614	0.354719154087384
OR51B6	0.362429993091182	0.351971033429671
OR52M1	0.363690484940246	0.348611530793336
OR7D4	0.366046097987623	0.342343774830326
OR6C70	0.366523835423128	0.34107426974877
OR1S1	0.375060635905276	0.318479461217602
OR6B3	0.379044231136721	0.307991944088116
OR10W1	0.383667259551074	0.295863247886727
OR52I2	0.384802804686237	0.292890815453342
OR51B5	0.387783151303121	0.285101602182752
OR52I1	0.393280806714783	0.270778218410637
OR51A7	0.394651545664349	0.267215696560329
OR2L13	0.396911611224625	0.261349207752155
OR2T12	0.3982	0.258008949900491
OR10H2	0.406293639477282	0.23708960183903
OR5H1	0.4161	0.211880838336213
OR52E8	0.4217	0.197546367804369
OR2AG2	0.425050346175896	0.188989951579845
OR4D2	0.426108718340708	0.186289888244662
OR1L8	0.427600729100825	0.18248584971865
OR8B4	0.429978391568302	0.176429178407032
OR3A3	0.431084537476664	0.173613686691999
OR5B3	0.431396904261418	0.17281886437639
OR51G2	0.442241544047392	0.145288507550554
OR10G3	0.446956445045495	0.133354673976239
OR10H4	0.451987387731703	0.120641779229577
OR5H15	0.453372826294668	0.117144366207993
OR8B12	0.455702715018595	0.111265982329042
OR5AC2	0.4602	0.0999298727779397
